"hhid","h04_sex","h14_cls_wkr","h06_status","urb","age_group"
"527400000000029274",1,0,2,1,"18 to 29"
"3573700000000059737",1,0,1,1,"60 to 69"
"1542300000000039423",1,0,3,2,"60 to 69"
"1949800000000043498",1,0,2,2,"40 to 49"
"970900000000033709",1,0,2,2,"50 to 59"
"1644200000000040442",1,0,3,2,"50 to 59"
"3306500000000057065",1,0,1,1,"60 to 69"
"970700000000033707",1,0,2,2,"40 to 49"
"1949700000000043497",1,0,2,2,"60 to 69"
"3573500000000059735",1,0,2,1,"60 to 69"
"1949300000000043493",1,0,2,2,"50 to 59"
"3951100000000063511",1,0,2,2,"50 to 59"
"2493800000000048938",1,0,2,1,"50 to 59"
"970600000000033706",1,0,2,2,"40 to 49"
"3057200000000054572",1,0,2,1,"50 to 59"
"3195900000000055959",1,0,2,1,"50 to 59"
"1949100000000043491",1,0,3,2,"30 to 39"
"3817400000000062174",1,0,2,2,"50 to 59"
"1396000000000037960",1,0,2,2,"40 to 49"
"154700000000025547",1,0,2,1,"30 to 39"
"1671400000000040714",1,0,2,2,"50 to 59"
"1948500000000043485",1,0,2,2,"60 to 69"
"1050700000000034507",1,0,2,1,"30 to 39"
"3310400000000057104",1,0,2,1,"40 to 49"
"3729200000000061292",1,0,2,1,"40 to 49"
"3631400000000060314",1,0,2,1,"30 to 39"
"295400000000026954",1,0,2,2,"40 to 49"
"1624100000000040241",1,0,2,1,"30 to 39"
"154300000000025543",1,0,4,1,"30 to 39"
"1226100000000036261",1,0,3,2,"60 to 69"
"1672000000000040720",1,0,2,2,"18 to 29"
"1126500000000035265",1,0,2,2,"40 to 49"
"1798500000000041985",1,0,1,2,"50 to 59"
"1608700000000040087",1,0,3,2,"40 to 49"
"1948300000000043483",1,0,2,2,"40 to 49"
"685900000000030859",1,0,2,2,"40 to 49"
"3572100000000059721",1,0,2,1,"50 to 59"
"1478100000000038781",1,0,2,1,"40 to 49"
"3872200000000062722",1,0,2,2,"50 to 59"
"1672400000000040724",1,0,2,2,"60 to 69"
"1645400000000040454",1,0,2,2,"50 to 59"
"1303500000000037035",1,0,2,1,"18 to 29"
"1050600000000034506",1,0,2,1,"30 to 39"
"1645700000000040457",1,0,2,2,"40 to 49"
"1474100000000038741",1,0,1,1,"30 to 39"
"681300000000030813",1,0,2,2,"40 to 49"
"1799900000000041999",1,0,1,2,"18 to 29"
"294800000000026948",1,0,2,2,"30 to 39"
"3570500000000059705",1,0,2,1,"50 to 59"
"1048700000000034487",1,0,1,1,"30 to 39"
"855000000000032550",1,0,2,1,"30 to 39"
"681000000000030810",1,0,2,2,"18 to 29"
"170300000000025703",1,0,2,1,"30 to 39"
"3982400000000063824",1,0,2,2,"60 to 69"
"680800000000030808",1,0,2,2,"50 to 59"
"3957500000000063575",1,0,2,2,"50 to 59"
"2552300000000049523",1,0,2,1,"50 to 59"
"678200000000030782",1,0,2,2,"40 to 49"
"3995800000000063958",1,0,2,1,"40 to 49"
"1110300000000035103",1,0,3,1,"50 to 59"
"676900000000030769",1,0,2,1,"30 to 39"
"2237000000000046370",1,0,2,1,"40 to 49"
"845800000000032458",1,0,2,1,"30 to 39"
"966100000000033661",1,0,2,2,"18 to 29"
"3204700000000056047",1,0,4,1,"30 to 39"
"2949400000000053494",1,0,2,2,"30 to 39"
"4020900000000064209",1,0,4,1,"40 to 49"
"2238100000000046381",1,0,2,1,"30 to 39"
"1625300000000040253",1,0,2,1,"40 to 49"
"1193400000000035934",1,0,2,2,"30 to 39"
"2238500000000046385",1,0,2,1,"18 to 29"
"1625500000000040255",1,0,2,1,"50 to 59"
"3521800000000059218",1,0,2,1,"30 to 39"
"3480900000000058809",1,0,2,1,"30 to 39"
"3481100000000058811",1,0,2,1,"40 to 49"
"3481300000000058813",1,0,2,1,"30 to 39"
"137000000000025370",1,0,2,2,"50 to 59"
"3482000000000058820",1,0,2,1,"40 to 49"
"3206200000000056062",1,0,4,1,"30 to 39"
"3644400000000060444",1,0,2,1,"60 to 69"
"3696200000000060962",1,0,2,1,"40 to 49"
"397700000000027977",1,0,2,1,"60 to 69"
"671100000000030711",1,0,2,1,"40 to 49"
"3876300000000062763",1,0,2,2,"40 to 49"
"612200000000030122",1,0,2,2,"40 to 49"
"2753300000000051533",1,0,2,1,"30 to 39"
"3944300000000063443",1,0,2,2,"30 to 39"
"3622700000000060227",1,0,2,1,"40 to 49"
"1933600000000043336",1,0,2,2,"18 to 29"
"3484200000000058842",1,0,2,1,"50 to 59"
"145100000000025451",1,0,2,1,"50 to 59"
"1048300000000034483",1,0,2,1,"30 to 39"
"3320800000000057208",1,0,1,1,"18 to 29"
"169400000000025694",1,0,2,1,"60 to 69"
"956100000000033561",1,0,2,1,"40 to 49"
"1525100000000039251",1,0,1,1,"18 to 29"
"955700000000033557",1,0,2,1,"40 to 49"
"3779100000000061791",1,0,2,2,"50 to 59"
"3876600000000062766",1,0,2,2,"30 to 39"
"3616400000000060164",1,0,2,1,"18 to 29"
"2610900000000050109",1,0,2,2,"50 to 59"
"3588900000000059889",1,0,2,1,"40 to 49"
"2596500000000049965",1,0,4,2,"40 to 49"
"3490700000000058907",1,0,2,1,"50 to 59"
"1626700000000040267",1,0,2,2,"50 to 59"
"955200000000033552",1,0,2,1,"30 to 39"
"844300000000032443",1,0,2,1,"60 to 69"
"1933300000000043333",1,0,2,2,"40 to 49"
"3523900000000059239",1,0,2,1,"60 to 69"
"3991300000000063913",1,0,2,2,"50 to 59"
"652300000000030523",1,0,2,2,"40 to 49"
"840800000000032408",1,0,2,2,"40 to 49"
"834500000000032345",1,0,2,1,"40 to 49"
"1930900000000043309",1,0,2,1,"50 to 59"
"553000000000029530",1,0,2,1,"50 to 59"
"3630800000000060308",1,0,2,1,"40 to 49"
"2470700000000048707",1,0,2,1,"50 to 59"
"553100000000029531",1,0,2,1,"50 to 59"
"2248900000000046489",1,0,2,1,"50 to 59"
"2367100000000047671",1,0,2,1,"40 to 49"
"168700000000025687",1,0,2,1,"50 to 59"
"187500000000025875",1,0,4,2,"40 to 49"
"1610600000000040106",1,0,2,2,"60 to 69"
"833700000000032337",1,0,2,1,"50 to 59"
"1402700000000038027",1,0,2,1,"60 to 69"
"2249500000000046495",1,0,2,1,"60 to 69"
"1925200000000043252",1,0,3,1,"60 to 69"
"955000000000033550",1,0,2,1,"30 to 39"
"832700000000032327",1,0,2,1,"30 to 39"
"1924800000000043248",1,0,2,1,"50 to 59"
"1924600000000043246",1,0,2,1,"50 to 59"
"3496000000000058960",1,0,2,1,"30 to 39"
"1530700000000039307",1,0,2,2,"40 to 49"
"441100000000028411",1,0,2,2,"30 to 39"
"4028600000000064286",1,0,2,1,"50 to 59"
"3779200000000061792",1,0,2,2,"40 to 49"
"3333800000000057338",1,0,4,1,"40 to 49"
"2414900000000048149",1,0,2,2,"40 to 49"
"1924200000000043242",1,0,2,1,"18 to 29"
"462400000000028624",1,0,2,1,"30 to 39"
"1101800000000035018",1,0,3,2,"50 to 59"
"1039300000000034393",1,0,2,1,"40 to 49"
"2414500000000048145",1,0,2,1,"40 to 49"
"441000000000028410",1,0,2,2,"18 to 29"
"168500000000025685",1,0,2,1,"50 to 59"
"1395600000000037956",1,0,2,2,"40 to 49"
"1713700000000041137",1,0,2,1,"50 to 59"
"831300000000032313",1,0,2,1,"30 to 39"
"1922300000000043223",1,0,3,1,"70 to 79"
"2413800000000048138",1,0,2,1,"40 to 49"
