"hhid","h04_sex","h13_did_work","h14_cls_wkr","hgc"
"578400000000029784",1,1,1,"JHS Graduate"
"578500000000029785",1,1,3,"JHS Graduate"
"578600000000029786",1,1,1,"JHS Undergraduate"
"578700000000029787",1,1,1,"Grade 1 to Grade 6/7"
"578800000000029788",1,1,2,"JHS Graduate"
"578900000000029789",1,1,3,"JHS Graduate"
"579000000000029790",1,1,1,"Elementary Graduate"
"579300000000029793",1,1,3,"Bachelor Level Education Undergrad"
"579400000000029794",1,1,3,"Elementary Graduate"
"579500000000029795",1,1,3,"Short Cycle Tertiary Education Graduate"
"579600000000029796",1,1,3,"Bachelor Level Education Undergrad"
"579700000000029797",1,1,6,"JHS Undergraduate"
"579800000000029798",1,1,3,"Post Secondary/Non Tertiary Education Graduate"
"579900000000029799",1,1,2,"Bachelor Level Education Undergrad"
"580100000000029801",1,1,3,"JHS Graduate"
"580200000000029802",1,1,1,"Grade 1 to Grade 6/7"
"580700000000029807",1,1,1,"JHS Undergraduate"
"580900000000029809",1,1,1,"JHS Undergraduate"
"581000000000029810",1,1,3,"Elementary Graduate"
"581100000000029811",1,1,3,"JHS Undergraduate"
"581200000000029812",1,1,1,"Short Cycle Tertiary Education Undergrad"
"581600000000029816",1,1,1,"JHS Undergraduate"
"581700000000029817",1,1,1,"JHS Graduate"
"581800000000029818",1,1,2,"Grade 1 to Grade 6/7"
"581900000000029819",1,1,3,"JHS Graduate"
"582000000000029820",1,1,1,"Grade 1 to Grade 6/7"
"582100000000029821",1,1,1,"JHS Graduate"
"582200000000029822",1,1,1,"JHS Undergraduate"
"582400000000029824",1,1,3,"Elementary Graduate"
"582500000000029825",1,1,1,"Grade 1 to Grade 6/7"
"582600000000029826",1,1,3,"JHS Undergraduate"
"582800000000029828",1,1,1,"JHS Undergraduate"
"583000000000029830",1,1,3,"JHS Undergraduate"
"583100000000029831",1,1,1,"JHS Graduate"
"583200000000029832",1,1,3,"Elementary Graduate"
"583300000000029833",1,1,1,"JHS Graduate"
"583400000000029834",1,1,1,"Grade 1 to Grade 6/7"
"583500000000029835",1,2,"","Grade 1 to Grade 6/7"
"583600000000029836",1,2,"","Grade 1 to Grade 6/7"
"583700000000029837",1,1,1,"Grade 1 to Grade 6/7"
"583800000000029838",1,1,2,"Elementary Graduate"
"583900000000029839",1,1,1,"JHS Undergraduate"
"584000000000029840",1,1,3,"Grade 1 to Grade 6/7"
"584100000000029841",1,1,3,"Grade 1 to Grade 6/7"
"584200000000029842",1,2,"","Elementary Graduate"
"584300000000029843",1,1,1,"Elementary Graduate"
"584500000000029845",1,1,1,"JHS Graduate"
"584600000000029846",1,1,1,"JHS Undergraduate"
"584700000000029847",1,1,1,"Grade 1 to Grade 6/7"
"584800000000029848",1,1,4,"Bachelor Level Education Graduate"
"585300000000029853",1,1,3,"Short Cycle Tertiary Education Graduate"
"585400000000029854",1,1,3,"JHS Undergraduate"
"585500000000029855",1,1,1,"JHS Graduate"
"585600000000029856",1,1,3,"Bachelor Level Education Undergrad"
"585700000000029857",1,1,3,"JHS Graduate"
"585800000000029858",1,1,1,"Grade 1 to Grade 6/7"
"585900000000029859",1,1,1,"Short Cycle Tertiary Education Graduate"
"586000000000029860",1,1,1,"Grade 1 to Grade 6/7"
"586100000000029861",1,1,1,"Elementary Graduate"
"586200000000029862",1,1,1,"JHS Graduate"
"586300000000029863",1,1,1,"Elementary Graduate"
"586400000000029864",1,1,3,"JHS Graduate"
"586500000000029865",1,1,1,"Grade 1 to Grade 6/7"
"586600000000029866",1,1,3,"Bachelor Level Education Undergrad"
"586700000000029867",1,1,3,"Grade 1 to Grade 6/7"
"586800000000029868",1,1,1,"JHS Undergraduate"
"586900000000029869",1,1,1,"Elementary Graduate"
"587000000000029870",1,1,4,"Bachelor Level Education Graduate"
"587100000000029871",1,1,1,"Grade 1 to Grade 6/7"
"587200000000029872",1,2,"","No Grade Completed"
"587300000000029873",1,1,1,"Grade 1 to Grade 6/7"
"587400000000029874",1,1,1,"Elementary Graduate"
"587500000000029875",1,1,1,"Bachelor Level Education Graduate"
"587600000000029876",1,1,1,"Bachelor Level Education Undergrad"
"587700000000029877",1,1,1,"Grade 1 to Grade 6/7"
"587800000000029878",1,1,3,"Grade 1 to Grade 6/7"
"587900000000029879",1,1,3,"Grade 1 to Grade 6/7"
"588000000000029880",1,1,3,"Elementary Graduate"
"588200000000029882",1,1,3,"Elementary Graduate"
"588300000000029883",1,1,3,"JHS Graduate"
"588400000000029884",1,1,1,"No Grade Completed"
"588500000000029885",1,1,3,"JHS Graduate"
"588600000000029886",1,1,3,"JHS Graduate"
"588700000000029887",1,1,3,"Grade 1 to Grade 6/7"
"588800000000029888",1,1,3,"JHS Graduate"
"588900000000029889",1,1,3,"JHS Graduate"
"589000000000029890",1,1,1,"No Grade Completed"
"589100000000029891",1,1,3,"Elementary Graduate"
"589200000000029892",1,1,1,"No Grade Completed"
"589300000000029893",1,1,3,"Elementary Graduate"
"589400000000029894",1,1,3,"Grade 1 to Grade 6/7"
"589500000000029895",1,1,3,"Elementary Graduate"
"589600000000029896",1,1,3,"JHS Graduate"
"589700000000029897",1,1,3,"Elementary Graduate"
"589800000000029898",1,1,1,"JHS Undergraduate"
"589900000000029899",1,1,3,"Elementary Graduate"
"590000000000029900",1,1,1,"Grade 1 to Grade 6/7"
"590100000000029901",1,1,1,"JHS Undergraduate"
"590200000000029902",1,2,"","JHS Undergraduate"
"590300000000029903",1,1,1,"Grade 1 to Grade 6/7"
"590400000000029904",1,1,1,"Elementary Graduate"
"590500000000029905",1,1,3,"JHS Undergraduate"
"590600000000029906",1,1,3,"JHS Graduate"
"590700000000029907",1,1,3,"Elementary Graduate"
"590900000000029909",1,1,1,"Elementary Graduate"
"591000000000029910",1,1,1,"Grade 1 to Grade 6/7"
"591100000000029911",1,2,"","Elementary Graduate"
"591200000000029912",1,1,1,"Elementary Graduate"
"591300000000029913",1,1,1,"JHS Graduate"
"591400000000029914",1,1,3,"JHS Graduate"
"591500000000029915",1,1,3,"JHS Graduate"
"591600000000029916",1,1,1,"Grade 1 to Grade 6/7"
"591800000000029918",1,1,3,"Bachelor Level Education Graduate"
"591900000000029919",1,1,3,"Bachelor Level Education Graduate"
"592000000000029920",1,1,3,"Bachelor Level Education Undergrad"
"592100000000029921",1,1,3,"JHS Graduate"
"592200000000029922",1,1,4,"JHS Undergraduate"
"592300000000029923",1,1,1,"Grade 1 to Grade 6/7"
"592400000000029924",1,1,1,"Elementary Graduate"
"592500000000029925",1,1,3,"JHS Undergraduate"
"592600000000029926",1,1,1,"Grade 1 to Grade 6/7"
"592700000000029927",1,1,1,"JHS Graduate"
"593000000000029930",1,1,3,"JHS Undergraduate"
"593100000000029931",1,1,3,"Grade 1 to Grade 6/7"
"593200000000029932",1,1,3,"JHS Undergraduate"
"593300000000029933",1,1,1,"Elementary Graduate"
"593400000000029934",1,1,3,"Grade 1 to Grade 6/7"
"593500000000029935",1,1,1,"Elementary Graduate"
"593600000000029936",1,1,1,"Grade 1 to Grade 6/7"
"593800000000029938",1,1,3,"Elementary Graduate"
"593900000000029939",1,1,3,"JHS Graduate"
"594000000000029940",1,1,3,"Grade 1 to Grade 6/7"
"594100000000029941",1,1,3,"Grade 1 to Grade 6/7"
"594200000000029942",1,1,4,"Grade 1 to Grade 6/7"
"594400000000029944",1,1,3,"Elementary Graduate"
"594600000000029946",1,1,3,"No Grade Completed"
"594700000000029947",1,1,1,"Elementary Graduate"
"594800000000029948",1,1,3,"Grade 1 to Grade 6/7"
"594900000000029949",1,1,2,"Grade 1 to Grade 6/7"
"595000000000029950",1,1,1,"Grade 1 to Grade 6/7"
"595100000000029951",1,1,3,"No Grade Completed"
"595200000000029952",1,1,1,"Elementary Graduate"
"595300000000029953",1,1,1,"Grade 1 to Grade 6/7"
"595400000000029954",1,1,3,"Grade 1 to Grade 6/7"
"595500000000029955",1,1,3,"Elementary Graduate"
"595600000000029956",1,1,2,"Elementary Graduate"
"595700000000029957",1,1,3,"JHS Undergraduate"
"595800000000029958",1,1,1,"JHS Graduate"
"595900000000029959",1,1,1,"Elementary Graduate"
"596000000000029960",1,1,3,"JHS Graduate"
"596100000000029961",1,1,3,"JHS Undergraduate"
"596200000000029962",1,1,2,"JHS Graduate"
"596300000000029963",1,1,3,"Grade 1 to Grade 6/7"
"596400000000029964",1,1,3,"Bachelor Level Education Graduate"
"596500000000029965",1,1,3,"JHS Undergraduate"
"596600000000029966",1,2,"","Bachelor Level Education Undergrad"
"596700000000029967",1,1,2,"JHS Graduate"
"596800000000029968",1,1,1,"Bachelor Level Education Undergrad"
"596900000000029969",1,1,3,"JHS Graduate"
"597000000000029970",1,1,3,"JHS Undergraduate"
"597100000000029971",1,1,3,"JHS Graduate"
"597200000000029972",1,1,1,"JHS Graduate"
"597300000000029973",1,1,3,"Bachelor Level Education Graduate"
"597500000000029975",1,1,1,"JHS Graduate"
"597700000000029977",1,1,2,"Bachelor Level Education Graduate"
"598100000000029981",1,1,3,"Bachelor Level Education Undergrad"
"598200000000029982",1,1,3,"Bachelor Level Education Undergrad"
"598300000000029983",1,1,3,"Elementary Graduate"
"598400000000029984",1,1,3,"Short Cycle Tertiary Education Graduate"
"598500000000029985",1,1,1,"Bachelor Level Education Graduate"
"598600000000029986",1,1,3,"Elementary Graduate"
"598700000000029987",1,1,1,"Bachelor Level Education Graduate"
"598800000000029988",1,1,1,"JHS Graduate"
"598900000000029989",1,1,1,"JHS Undergraduate"
"599100000000029991",1,1,1,"JHS Graduate"
"599200000000029992",1,2,"","Elementary Graduate"
"599300000000029993",1,1,1,"JHS Graduate"
"599500000000029995",1,1,1,"Elementary Graduate"
"599600000000029996",1,1,1,"Elementary Graduate"
"599700000000029997",1,1,1,"JHS Undergraduate"
"599800000000029998",1,1,1,"JHS Undergraduate"
"600000000000030000",1,1,1,"Grade 1 to Grade 6/7"
"600100000000030001",1,1,3,"JHS Graduate"
"600300000000030003",1,1,1,"Grade 1 to Grade 6/7"
"600400000000030004",1,1,1,"Bachelor Level Education Undergrad"
"600500000000030005",1,1,1,"Bachelor Level Education Undergrad"
"600600000000030006",1,1,1,"JHS Graduate"
"600700000000030007",1,1,3,"JHS Undergraduate"
"600800000000030008",1,1,1,"JHS Undergraduate"
"601000000000030010",1,1,1,"Bachelor Level Education Undergrad"
"601100000000030011",1,2,"","JHS Graduate"
"601200000000030012",1,1,3,"Bachelor Level Education Graduate"
"601300000000030013",1,1,6,"JHS Graduate"
"601400000000030014",1,1,1,"Elementary Graduate"
"601700000000030017",1,1,1,"JHS Graduate"
"602000000000030020",1,1,1,"JHS Graduate"
"602100000000030021",1,1,1,"JHS Undergraduate"
"602200000000030022",1,1,3,"JHS Graduate"
"602300000000030023",1,1,1,"JHS Graduate"
"602500000000030025",1,1,1,"JHS Graduate"
"602800000000030028",1,1,3,"Bachelor Level Education Graduate"
"603100000000030031",1,2,"","JHS Undergraduate"
"603300000000030033",1,1,1,"JHS Graduate"
"603400000000030034",1,2,"","Bachelor Level Education Graduate"
"603600000000030036",1,2,"","Elementary Graduate"
"603800000000030038",1,2,"","Elementary Graduate"
"603900000000030039",1,1,3,"Short Cycle Tertiary Education Graduate"
"604000000000030040",1,1,0,"JHS Graduate"
"604200000000030042",1,1,1,"JHS Graduate"
"604300000000030043",1,1,3,"Elementary Graduate"
"604500000000030045",1,1,1,"JHS Graduate"
"604600000000030046",1,1,1,"JHS Graduate"
"604700000000030047",1,1,4,"Elementary Graduate"
"604800000000030048",1,1,4,"Grade 1 to Grade 6/7"
"604900000000030049",1,1,3,"Bachelor Level Education Undergrad"
"605000000000030050",1,1,4,"JHS Graduate"
"605300000000030053",1,2,"","JHS Graduate"
"605400000000030054",1,1,1,"Elementary Graduate"
"605500000000030055",1,1,3,"JHS Graduate"
"605600000000030056",1,1,3,"Elementary Graduate"
"605800000000030058",1,1,3,"Elementary Graduate"
"605900000000030059",1,1,2,"Grade 1 to Grade 6/7"
"606100000000030061",1,2,"","JHS Graduate"
"606200000000030062",1,2,"","Elementary Graduate"
"606300000000030063",1,1,3,"Bachelor Level Education Graduate"
"606400000000030064",1,1,2,"Grade 1 to Grade 6/7"
"606500000000030065",1,2,"","Bachelor Level Education Graduate"
"606600000000030066",1,1,1,"JHS Graduate"
"606700000000030067",1,1,1,"Elementary Graduate"
"606800000000030068",1,1,2,"JHS Graduate"
"606900000000030069",1,1,1,"JHS Undergraduate"
"607100000000030071",1,2,"","JHS Graduate"
"607200000000030072",1,1,1,"JHS Graduate"
"607300000000030073",1,2,"","JHS Graduate"
"607400000000030074",1,2,"","JHS Undergraduate"
"607500000000030075",1,1,1,"Elementary Graduate"
"607700000000030077",1,1,3,"Bachelor Level Education Graduate"
"608000000000030080",1,2,"","JHS Undergraduate"
"608100000000030081",1,1,3,"Elementary Graduate"
"608200000000030082",1,1,1,"JHS Graduate"
"608400000000030084",1,1,1,"Elementary Graduate"
"608600000000030086",1,1,1,"JHS Undergraduate"
"608700000000030087",1,1,6,"Elementary Graduate"
"608900000000030089",1,1,3,"Bachelor Level Education Undergrad"
"609000000000030090",1,1,3,"JHS Graduate"
"609100000000030091",1,1,1,"JHS Graduate"
"609300000000030093",1,1,1,"JHS Graduate"
"609400000000030094",1,1,1,"JHS Graduate"
"609500000000030095",1,1,3,"Bachelor Level Education Undergrad"
"609600000000030096",1,2,"","Bachelor Level Education Undergrad"
"609700000000030097",1,1,1,"JHS Undergraduate"
"609900000000030099",1,1,1,"JHS Graduate"
"610100000000030101",1,2,"","Elementary Graduate"
"610200000000030102",1,1,3,"Elementary Graduate"
"610400000000030104",1,1,3,"JHS Graduate"
"610500000000030105",1,1,1,"Bachelor Level Education Undergrad"
"610600000000030106",1,1,1,"Grade 1 to Grade 6/7"
"610700000000030107",1,1,1,"JHS Undergraduate"
"610800000000030108",1,2,"","JHS Undergraduate"
"610900000000030109",1,1,3,"JHS Undergraduate"
"611000000000030110",1,1,1,"Grade 1 to Grade 6/7"
"611100000000030111",1,1,3,"Grade 1 to Grade 6/7"
"611200000000030112",1,1,1,"JHS Graduate"
"611400000000030114",1,1,2,"JHS Undergraduate"
"611500000000030115",1,1,3,"No Grade Completed"
"611600000000030116",1,1,3,"Grade 1 to Grade 6/7"
"611700000000030117",1,2,"","Bachelor Level Education Undergrad"
"611800000000030118",1,1,4,"JHS Undergraduate"
"611900000000030119",1,1,6,"Elementary Graduate"
"612000000000030120",1,1,1,"JHS Graduate"
"612100000000030121",1,1,1,"Grade 1 to Grade 6/7"
"612200000000030122",1,1,0,"JHS Undergraduate"
"612300000000030123",1,1,1,"Grade 1 to Grade 6/7"
"612400000000030124",1,2,"","JHS Undergraduate"
"612500000000030125",1,1,1,"Elementary Graduate"
"612600000000030126",1,1,3,"Elementary Graduate"
"612700000000030127",1,1,3,"Elementary Graduate"
"612800000000030128",1,1,1,"Elementary Graduate"
"612900000000030129",1,1,1,"Short Cycle Tertiary Education Graduate"
"613000000000030130",1,1,1,"JHS Undergraduate"
"613100000000030131",1,1,1,"Bachelor Level Education Graduate"
"613200000000030132",1,2,"","Short Cycle Tertiary Education Graduate"
"613300000000030133",1,1,3,"Bachelor Level Education Undergrad"
"613700000000030137",1,1,3,"JHS Graduate"
"614000000000030140",1,1,4,"Bachelor Level Education Undergrad"
"614100000000030141",1,1,1,"Grade 1 to Grade 6/7"
"614200000000030142",1,1,3,"Bachelor Level Education Undergrad"
"614300000000030143",1,1,3,"JHS Graduate"
"614400000000030144",1,1,1,"JHS Graduate"
"614600000000030146",1,1,3,"Grade 1 to Grade 6/7"
"614700000000030147",1,1,3,"Elementary Graduate"
"614800000000030148",1,2,"","JHS Graduate"
"615000000000030150",1,1,1,"Grade 1 to Grade 6/7"
"615100000000030151",1,1,1,"JHS Graduate"
"615200000000030152",1,1,1,"JHS Undergraduate"
"615400000000030154",1,1,1,"JHS Graduate"
"615500000000030155",1,1,3,"JHS Graduate"
"615700000000030157",1,1,1,"JHS Graduate"
"615800000000030158",1,2,"","Short Cycle Tertiary Education Graduate"
"615900000000030159",1,1,3,"Grade 1 to Grade 6/7"
"616000000000030160",1,1,1,"JHS Undergraduate"
"616100000000030161",1,1,1,"Bachelor Level Education Undergrad"
"616200000000030162",1,1,1,"JHS Graduate"
"616500000000030165",1,1,1,"JHS Graduate"
"616600000000030166",1,1,1,"JHS Graduate"
"616700000000030167",1,1,3,"Bachelor Level Education Graduate"
"616900000000030169",1,1,3,"Elementary Graduate"
"617000000000030170",1,2,"","JHS Graduate"
"617100000000030171",1,1,0,"JHS Graduate"
"617200000000030172",1,1,2,"Bachelor Level Education Graduate"
"617300000000030173",1,1,1,"Grade 1 to Grade 6/7"
"617400000000030174",1,1,1,"JHS Graduate"
"617500000000030175",1,1,3,"Bachelor Level Education Graduate"
"617700000000030177",1,1,1,"Bachelor Level Education Graduate"
"617900000000030179",1,1,1,"Bachelor Level Education Graduate"
"618000000000030180",1,1,1,"JHS Graduate"
"618200000000030182",1,1,1,"Bachelor Level Education Undergrad"
"618300000000030183",1,1,3,"JHS Graduate"
"618400000000030184",1,2,"","JHS Graduate"
"618500000000030185",1,1,1,"JHS Undergraduate"
"618600000000030186",1,1,1,"JHS Graduate"
"619000000000030190",1,2,"","Bachelor Level Education Undergrad"
"619100000000030191",1,1,0,"JHS Graduate"
"619300000000030193",1,2,"","JHS Graduate"
"619400000000030194",1,1,1,"JHS Graduate"
"619600000000030196",1,1,0,"Grade 1 to Grade 6/7"
"619700000000030197",1,1,0,"JHS Graduate"
"619800000000030198",1,2,"","JHS Graduate"
"620000000000030200",1,1,6,"Bachelor Level Education Undergrad"
"620100000000030201",1,1,2,"Bachelor Level Education Graduate"
"620200000000030202",1,1,0,"Elementary Graduate"
"620300000000030203",1,1,1,"Short Cycle Tertiary Education Graduate"
"620400000000030204",1,1,0,"JHS Graduate"
"620600000000030206",1,1,1,"Bachelor Level Education Graduate"
"620700000000030207",1,1,1,"Bachelor Level Education Graduate"
"620800000000030208",1,1,1,"JHS Graduate"
"620900000000030209",1,2,"","Bachelor Level Education Graduate"
"621000000000030210",1,1,0,"Bachelor Level Education Undergrad"
"621100000000030211",1,2,"","JHS Graduate"
"621300000000030213",1,1,3,"Bachelor Level Education Graduate"
"621400000000030214",1,2,"","Bachelor Level Education Graduate"
"621500000000030215",1,1,1,"Bachelor Level Education Undergrad"
"621600000000030216",1,1,1,"JHS Undergraduate"
"621800000000030218",1,1,1,"JHS Graduate"
"621900000000030219",1,2,"","Bachelor Level Education Undergrad"
"622000000000030220",1,1,1,"Grade 1 to Grade 6/7"
"622100000000030221",1,1,1,"Bachelor Level Education Graduate"
"622200000000030222",1,1,3,"Bachelor Level Education Graduate"
"622300000000030223",1,1,1,"Bachelor Level Education Graduate"
"622400000000030224",1,1,1,"Grade 1 to Grade 6/7"
"622500000000030225",1,2,"","JHS Graduate"
"622600000000030226",1,2,"","Bachelor Level Education Graduate"
"622800000000030228",1,1,1,"JHS Graduate"
"623000000000030230",1,1,3,"JHS Graduate"
"623100000000030231",1,2,"","JHS Undergraduate"
"623200000000030232",1,1,1,"Bachelor Level Education Graduate"
"623300000000030233",1,1,1,"Bachelor Level Education Undergrad"
"623400000000030234",1,1,1,"JHS Graduate"
"623500000000030235",1,1,0,"JHS Undergraduate"
"623600000000030236",1,1,1,"Bachelor Level Education Undergrad"
"623700000000030237",1,1,1,"Elementary Graduate"
"623800000000030238",1,2,"","Short Cycle Tertiary Education Graduate"
"624000000000030240",1,1,1,"JHS Graduate"
"624100000000030241",1,1,1,"Grade 1 to Grade 6/7"
"624200000000030242",1,1,1,"JHS Graduate"
"624300000000030243",1,1,3,"JHS Graduate"
"624400000000030244",1,1,1,"Elementary Graduate"
"624700000000030247",1,1,0,"JHS Graduate"
"624800000000030248",1,1,1,"Bachelor Level Education Graduate"
"624900000000030249",1,1,1,"JHS Graduate"
"625100000000030251",1,1,1,"JHS Graduate"
"625200000000030252",1,1,1,"JHS Graduate"
"625300000000030253",1,1,1,"Bachelor Level Education Undergrad"
"625500000000030255",1,1,3,"JHS Undergraduate"
"625600000000030256",1,1,1,"Bachelor Level Education Graduate"
"625700000000030257",1,1,1,"Bachelor Level Education Undergrad"
"625800000000030258",1,1,1,"JHS Graduate"
"626200000000030262",1,1,3,"JHS Graduate"
"626300000000030263",1,1,3,"JHS Graduate"
"626600000000030266",1,1,1,"Bachelor Level Education Undergrad"
"626700000000030267",1,1,1,"Bachelor Level Education Undergrad"
"626800000000030268",1,1,3,"JHS Undergraduate"
"626900000000030269",1,1,3,"Grade 1 to Grade 6/7"
"627000000000030270",1,1,1,"JHS Graduate"
"627200000000030272",1,1,1,"JHS Graduate"
"627300000000030273",1,1,3,"Elementary Graduate"
"627400000000030274",1,1,1,"Bachelor Level Education Undergrad"
"627500000000030275",1,1,1,"JHS Graduate"
"627600000000030276",1,2,"","JHS Undergraduate"
"627800000000030278",1,1,1,"Bachelor Level Education Undergrad"
"627900000000030279",1,2,"","JHS Undergraduate"
"628000000000030280",1,1,3,"JHS Graduate"
"628100000000030281",1,1,1,"Short Cycle Tertiary Education Graduate"
"628200000000030282",1,1,0,"JHS Undergraduate"
"628300000000030283",1,1,6,"Elementary Graduate"
"628700000000030287",1,1,3,"Elementary Graduate"
"628800000000030288",1,1,4,"Bachelor Level Education Graduate"
"628900000000030289",1,1,1,"JHS Undergraduate"
"629100000000030291",1,2,"","Elementary Graduate"
"629300000000030293",1,1,3,"Grade 1 to Grade 6/7"
"629500000000030295",1,2,"","Elementary Graduate"
"629900000000030299",1,2,"","Elementary Graduate"
"630100000000030301",1,1,1,"JHS Undergraduate"
"630200000000030302",1,1,4,"Elementary Graduate"
"630300000000030303",1,1,4,"Elementary Graduate"
"630500000000030305",1,1,3,"JHS Undergraduate"
"630600000000030306",1,1,1,"Elementary Graduate"
"630700000000030307",1,1,1,"Grade 1 to Grade 6/7"
"630900000000030309",1,2,"","JHS Undergraduate"
"631000000000030310",1,1,3,"Bachelor Level Education Undergrad"
"631100000000030311",1,1,1,"Elementary Graduate"
"631200000000030312",1,1,1,"JHS Undergraduate"
"631300000000030313",1,1,6,"Bachelor Level Education Graduate"
"631400000000030314",1,1,1,"Bachelor Level Education Undergrad"
"631600000000030316",1,2,"","JHS Undergraduate"
"631700000000030317",1,1,1,"Short Cycle Tertiary Education Graduate"
"631800000000030318",1,1,6,"Short Cycle Tertiary Education Graduate"
"631900000000030319",1,1,1,"Elementary Graduate"
"632000000000030320",1,1,1,"Bachelor Level Education Undergrad"
"632100000000030321",1,1,0,"JHS Graduate"
"632200000000030322",1,1,1,"Grade 1 to Grade 6/7"
"632400000000030324",1,1,6,"Short Cycle Tertiary Education Graduate"
"632500000000030325",1,1,6,"JHS Undergraduate"
"632600000000030326",1,1,1,"JHS Graduate"
"632700000000030327",1,1,2,"JHS Graduate"
"632900000000030329",1,1,1,"Elementary Graduate"
"633000000000030330",1,1,1,"Elementary Graduate"
"633100000000030331",1,1,3,"Bachelor Level Education Graduate"
"633200000000030332",1,1,1,"Bachelor Level Education Undergrad"
"633300000000030333",1,1,3,"JHS Graduate"
"633500000000030335",1,1,0,"JHS Graduate"
"633600000000030336",1,2,"","Elementary Graduate"
"633800000000030338",1,1,1,"Elementary Graduate"
"633900000000030339",1,1,1,"Grade 1 to Grade 6/7"
"634000000000030340",1,1,1,"Grade 1 to Grade 6/7"
"634100000000030341",1,1,1,"Grade 1 to Grade 6/7"
"634200000000030342",1,1,1,"JHS Graduate"
"634300000000030343",1,1,3,"Bachelor Level Education Graduate"
"634400000000030344",1,1,3,"JHS Undergraduate"
"634500000000030345",1,1,1,"Bachelor Level Education Undergrad"
"634600000000030346",1,1,1,"Grade 1 to Grade 6/7"
"634700000000030347",1,1,1,"Grade 1 to Grade 6/7"
"634800000000030348",1,1,1,"Grade 1 to Grade 6/7"
"634900000000030349",1,2,"","Elementary Graduate"
"635000000000030350",1,1,1,"Elementary Graduate"
"635100000000030351",1,1,1,"Grade 1 to Grade 6/7"
"635200000000030352",1,1,3,"Grade 1 to Grade 6/7"
"635300000000030353",1,1,0,"Bachelor Level Education Undergrad"
"635400000000030354",1,1,0,"Grade 1 to Grade 6/7"
"635500000000030355",1,1,1,"Grade 1 to Grade 6/7"
"635600000000030356",1,1,1,"Grade 1 to Grade 6/7"
"635800000000030358",1,2,"","Elementary Graduate"
"635900000000030359",1,2,"","Grade 1 to Grade 6/7"
"636000000000030360",1,1,1,"Elementary Graduate"
"636100000000030361",1,1,3,"Grade 1 to Grade 6/7"
"636200000000030362",1,1,3,"Elementary Graduate"
"636300000000030363",1,1,1,"Grade 1 to Grade 6/7"
"636400000000030364",1,1,3,"JHS Graduate"
"636600000000030366",1,2,"","Grade 1 to Grade 6/7"
"636700000000030367",1,1,3,"Elementary Graduate"
"636800000000030368",1,1,3,"JHS Graduate"
"636900000000030369",1,1,1,"Elementary Graduate"
"637000000000030370",1,1,1,"Elementary Graduate"
"637100000000030371",1,1,1,"Elementary Graduate"
"637300000000030373",1,1,3,"Grade 1 to Grade 6/7"
"637400000000030374",1,1,1,"Grade 1 to Grade 6/7"
"637600000000030376",1,1,3,"Elementary Graduate"
"637800000000030378",1,1,3,"Grade 1 to Grade 6/7"
"637900000000030379",1,2,"","Elementary Graduate"
"638000000000030380",1,1,3,"JHS Graduate"
"638100000000030381",1,1,1,"JHS Graduate"
"638200000000030382",1,1,1,"JHS Undergraduate"
"638300000000030383",1,2,"","JHS Graduate"
"638400000000030384",1,1,3,"JHS Graduate"
"638500000000030385",1,1,3,"Short Cycle Tertiary Education Undergrad"
"638600000000030386",1,1,3,"JHS Graduate"
"638700000000030387",1,1,1,"Grade 1 to Grade 6/7"
"638800000000030388",1,1,3,"Grade 1 to Grade 6/7"
"638900000000030389",1,1,3,"JHS Graduate"
"639000000000030390",1,1,3,"JHS Graduate"
"639100000000030391",1,1,3,"Bachelor Level Education Graduate"
"639200000000030392",1,1,1,"Grade 1 to Grade 6/7"
"639300000000030393",1,1,1,"Grade 1 to Grade 6/7"
"639400000000030394",1,1,3,"JHS Graduate"
"639500000000030395",1,1,1,"JHS Graduate"
"639600000000030396",1,2,"","Grade 1 to Grade 6/7"
"639900000000030399",1,1,3,"Elementary Graduate"
"640000000000030400",1,2,"","Elementary Graduate"
"640100000000030401",1,1,3,"Elementary Graduate"
"640200000000030402",1,1,1,"JHS Undergraduate"
"640300000000030403",1,1,3,"Elementary Graduate"
"640400000000030404",1,1,1,"JHS Undergraduate"
"640500000000030405",1,1,1,"JHS Graduate"
"640600000000030406",1,1,3,"Elementary Graduate"
"640700000000030407",1,1,3,"Bachelor Level Education Undergrad"
"640800000000030408",1,1,3,"JHS Undergraduate"
"640900000000030409",1,1,3,"Bachelor Level Education Undergrad"
"641000000000030410",1,1,3,"Grade 1 to Grade 6/7"
"641100000000030411",1,1,3,"Elementary Graduate"
"641200000000030412",1,1,3,"Grade 1 to Grade 6/7"
"641300000000030413",1,1,1,"Elementary Graduate"
"641400000000030414",1,1,1,"JHS Undergraduate"
"641500000000030415",1,1,3,"Post Secondary/Non Tertiary Education Graduate"
"641600000000030416",1,1,3,"Grade 1 to Grade 6/7"
"641700000000030417",1,1,3,"Grade 1 to Grade 6/7"
"641800000000030418",1,1,1,"Elementary Graduate"
"641900000000030419",1,1,3,"JHS Undergraduate"
"642000000000030420",1,2,"","Grade 1 to Grade 6/7"
"642100000000030421",1,1,4,"Short Cycle Tertiary Education Graduate"
"642200000000030422",1,1,3,"Grade 1 to Grade 6/7"
"642300000000030423",1,1,3,"JHS Undergraduate"
"642500000000030425",1,1,3,"Elementary Graduate"
"642600000000030426",1,1,2,"JHS Graduate"
"642700000000030427",1,1,3,"JHS Graduate"
"643000000000030430",1,1,1,"Elementary Graduate"
