REG,HHID,H3,H4,H6,H8,H5_A,H5_B,H5_C,H5_D,H5_E,H5_F,H7_A,H7_B,H7_C,H7_D,H7_E,H7_F,H9_A,H9_B,H9_C,H9_D,H9_E,H9_F,H9_G,H9_H,H9_I,H9_J,H9_K,H9_L,H9_M
14,000107100000000025071,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107200000000025072,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107300000000025073,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107400000000025074,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107500000000025075,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107600000000025076,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107700000000025077,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107800000000025078,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000107900000000025079,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108000000000025080,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108100000000025081,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108200000000025082,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108300000000025083,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108400000000025084,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108500000000025085,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108600000000025086,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108700000000025087,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108800000000025088,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000108900000000025089,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109000000000025090,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109100000000025091,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109200000000025092,1,1,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,
14,000109300000000025093,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109400000000025094,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109500000000025095,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109600000000025096,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109700000000025097,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109800000000025098,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000109900000000025099,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110000000000025100,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110100000000025101,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110200000000025102,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110300000000025103,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110400000000025104,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110500000000025105,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110600000000025106,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110700000000025107,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110800000000025108,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000110900000000025109,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111000000000025110,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111100000000025111,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111200000000025112,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111300000000025113,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111400000000025114,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111500000000025115,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111600000000025116,2,1,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,
14,000111700000000025117,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111800000000025118,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000111900000000025119,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112000000000025120,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112100000000025121,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112200000000025122,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112300000000025123,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112400000000025124,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112500000000025125,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112600000000025126,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112700000000025127,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112800000000025128,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000112900000000025129,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113000000000025130,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113100000000025131,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113200000000025132,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113300000000025133,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113400000000025134,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113500000000025135,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113600000000025136,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113700000000025137,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113800000000025138,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000113900000000025139,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114000000000025140,1,2,2,1,,,,,,,,,,,,,,2,,,,,7,,,,,12,
14,000114100000000025141,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114200000000025142,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114300000000025143,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114400000000025144,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114500000000025145,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114600000000025146,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114700000000025147,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114800000000025148,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000114900000000025149,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115000000000025150,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115100000000025151,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115200000000025152,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115300000000025153,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115400000000025154,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115500000000025155,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115600000000025156,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115700000000025157,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115800000000025158,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000115900000000025159,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116000000000025160,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116100000000025161,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116200000000025162,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116300000000025163,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116400000000025164,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116500000000025165,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116600000000025166,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116700000000025167,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116800000000025168,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000116900000000025169,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117000000000025170,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117100000000025171,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117200000000025172,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117300000000025173,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117400000000025174,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117500000000025175,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117600000000025176,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117700000000025177,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117800000000025178,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000117900000000025179,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118000000000025180,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118100000000025181,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118200000000025182,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118300000000025183,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118400000000025184,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118500000000025185,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118600000000025186,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118700000000025187,2,1,2,2,,,,4,,,,,,,,,,,,,,,,,,,,,
14,000118800000000025188,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000118900000000025189,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119000000000025190,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119100000000025191,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119200000000025192,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119300000000025193,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119400000000025194,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119500000000025195,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119600000000025196,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119700000000025197,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119800000000025198,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000119900000000025199,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120000000000025200,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120100000000025201,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120200000000025202,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120300000000025203,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120400000000025204,2,1,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,
14,000120500000000025205,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120600000000025206,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120700000000025207,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120800000000025208,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000120900000000025209,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121000000000025210,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121100000000025211,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121200000000025212,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121300000000025213,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121400000000025214,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121500000000025215,2,1,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,
14,000121600000000025216,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121700000000025217,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000121800000000025218,2,1,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,
14,000121900000000025219,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122000000000025220,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122100000000025221,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122200000000025222,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122300000000025223,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122400000000025224,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122500000000025225,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122600000000025226,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122700000000025227,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122800000000025228,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000122900000000025229,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123000000000025230,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123100000000025231,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123200000000025232,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123300000000025233,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123400000000025234,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123500000000025235,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123600000000025236,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123700000000025237,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123800000000025238,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000123900000000025239,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124000000000025240,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124100000000025241,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124200000000025242,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
